epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2884,1.03161,2.11764,1.02556,0.5098,0.63314,0.60807,0.41721,0.89218,2.19991,0.93103,0.000660131,0.000660131,0.000660131
2,48.4542,0.9617,1.23858,0.97669,0.98739,0.92689,0.97383,0.69335,0.93549,1.18825,0.94909,0.00127426,0.00127426,0.00127426
3,68.4997,0.96532,1.02221,0.96917,0.92391,0.93405,0.9794,0.72459,0.87643,0.95398,0.92524,0.00183558,0.00183558,0.00183558
4,88.538,0.92821,0.8542,0.97448,0.95067,0.91227,0.9794,0.77641,0.8603,0.79998,0.90282,0.0017624,0.0017624,0.0017624
5,108.538,0.9048,0.74547,0.96246,0.93598,0.95162,0.97805,0.75415,0.84972,0.71238,0.91775,0.0016832,0.0016832,0.0016832
6,128.547,0.87955,0.69058,0.95464,0.99215,0.93491,0.98537,0.80743,0.746,0.6139,0.89483,0.001604,0.001604,0.001604
7,148.53,0.84478,0.63196,0.94143,0.97502,0.95266,0.98973,0.76609,0.85666,0.57693,0.9281,0.0015248,0.0015248,0.0015248
8,168.531,0.82506,0.59473,0.94719,0.97609,0.96605,0.98975,0.80945,0.71578,0.49524,0.88965,0.0014456,0.0014456,0.0014456
9,188.567,0.78559,0.55886,0.92286,0.97658,0.98712,0.98884,0.8225,0.69103,0.46175,0.86987,0.0013664,0.0013664,0.0013664
10,208.598,0.77427,0.5419,0.91805,0.98778,0.94083,0.98422,0.81831,0.69011,0.50142,0.86499,0.0012872,0.0012872,0.0012872
11,228.621,0.77205,0.52623,0.91217,0.94766,0.99408,0.98823,0.78958,0.80003,0.50048,0.89031,0.001208,0.001208,0.001208
12,248.605,0.76353,0.51418,0.91692,0.97006,0.99408,0.99142,0.80956,0.81087,0.46815,0.88369,0.0011288,0.0011288,0.0011288
13,268.615,0.75122,0.50109,0.91657,0.9856,0.98225,0.99037,0.8325,0.67653,0.43911,0.86207,0.0010496,0.0010496,0.0010496
14,288.657,0.73344,0.49312,0.91224,0.99321,0.99408,0.99133,0.84217,0.7123,0.42191,0.85997,0.0009704,0.0009704,0.0009704
15,308.676,0.72269,0.46996,0.8993,0.99408,0.99279,0.99062,0.82655,0.73335,0.44099,0.86361,0.0008912,0.0008912,0.0008912
16,329.126,0.70202,0.43766,0.87649,0.98059,0.98817,0.98925,0.82468,0.81199,0.4532,0.88794,0.000812,0.000812,0.000812
17,349.117,0.67716,0.43308,0.87784,0.98816,0.98796,0.99423,0.85504,0.70032,0.41759,0.85606,0.0007328,0.0007328,0.0007328
18,369.07,0.66531,0.42145,0.86088,0.99346,1,0.98965,0.83555,0.68973,0.39989,0.86385,0.0006536,0.0006536,0.0006536
19,388.995,0.65634,0.40522,0.8622,0.99801,0.98225,0.99477,0.84798,0.77254,0.40852,0.86578,0.0005744,0.0005744,0.0005744
20,408.917,0.6298,0.38399,0.85889,0.99379,0.99408,0.99311,0.84756,0.67515,0.36561,0.85846,0.0004952,0.0004952,0.0004952
21,428.823,0.61913,0.3768,0.85131,0.98764,0.99408,0.99363,0.86085,0.65608,0.37197,0.85187,0.000416,0.000416,0.000416
22,448.755,0.59204,0.35519,0.85083,0.99333,0.98817,0.99429,0.86292,0.64445,0.36203,0.85054,0.0003368,0.0003368,0.0003368
23,468.684,0.60214,0.35233,0.85412,0.98972,0.98817,0.99155,0.86634,0.67672,0.3609,0.8428,0.0002576,0.0002576,0.0002576
24,488.633,0.57822,0.33763,0.84537,0.98601,0.99408,0.99458,0.8686,0.67867,0.35438,0.84753,0.0001784,0.0001784,0.0001784
25,508.57,0.56852,0.3269,0.83291,0.99408,0.99373,0.99488,0.87154,0.66519,0.34007,0.84254,9.92e-05,9.92e-05,9.92e-05
